2025-05-27 09:45:07.742 [http-nio-5005-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.FeignException$NotFound: [404] during [GET] to [http://purchase-service/suppliers/3] [PurchaseOrderClient#getOrdersBySupplier(Long)]: [{"timestamp":"2025-05-27T04:15:07.732+00:00","status":404,"error":"Not Found","trace":"org.springframework.web.servlet.resource.NoResourceFoundException: No static resource suppliers/3.\r\n\tat org.sp... (4676 bytes)]]
2025-05-27 09:45:39.695 [http-nio-5005-exec-10] INFO  c.c.i.s.c.SupplierController - GET /api/suppliers/3
2025-05-27 09:45:39.695 [http-nio-5005-exec-10] INFO  c.c.i.s.s.impl.SupplierServiceImpl - Fetching details for supplier ID: 3
2025-05-27 09:45:39.783 [http-nio-5005-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.FeignException$NotFound: [404] during [GET] to [http://purchase-service/suppliers/3] [PurchaseOrderClient#getOrdersBySupplier(Long)]: [{"timestamp":"2025-05-27T04:15:39.778+00:00","status":404,"error":"Not Found","trace":"org.springframework.web.servlet.resource.NoResourceFoundException: No static resource suppliers/3.\r\n\tat org.sp... (4676 bytes)]]
2025-05-27 09:46:09.569 [http-nio-5005-exec-9] INFO  c.c.i.s.c.SupplierController - GET /api/suppliers/by-product/17
2025-05-27 09:46:09.571 [http-nio-5005-exec-9] INFO  c.c.i.s.s.impl.SupplierServiceImpl - Fetching suppliers for product ID: 17
2025-05-27 09:48:48.440 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:53:48.446 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:58:48.447 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 10:03:48.454 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
